Time [s],fan_n,fan_p,PTA6,PTA7
0.007259108,0,1,0,0
0.007259120,0,0,0,0
0.007259170,0,1,0,0
0.007259182,0,0,0,0
0.007275072,0,1,0,0
0.007275076,0,0,0,0
0.007275126,0,1,0,0
0.007275134,0,0,0,0
0.007292728,0,1,0,0
0.007292730,0,0,0,0
0.007310678,0,1,0,0
0.007310680,0,0,0,0
0.007328072,0,1,0,0
0.007328078,0,0,0,0
0.007328124,0,1,0,0
0.007328134,0,0,0,0
0.007345054,0,1,0,0
0.007345062,0,0,0,0
0.007345108,0,1,0,0
0.007345122,0,0,0,0
0.007345170,0,1,0,0
0.007345184,0,0,0,0
0.007358384,0,1,0,0
0.007360950,0,0,0,0
0.007360956,0,1,0,0
0.007360970,0,0,0,0
0.007360982,0,1,0,0
0.007361028,0,0,0,0
0.007361044,0,1,0,0
0.007361092,0,0,0,0
0.007361108,0,1,0,0
0.007372258,0,0,0,0
0.007372270,0,1,0,0
0.007372318,0,0,0,0
0.007372332,0,1,0,0
0.007381598,0,0,0,0
0.007381610,0,1,0,0
0.007381658,0,0,0,0
0.007381670,0,1,0,0
0.007390260,0,0,0,0
0.007390270,0,1,0,0
0.007390318,0,0,0,0
0.007390338,0,1,0,0
0.007398402,0,0,0,0
0.007398418,0,1,0,0
0.007398460,0,0,0,0
0.007398480,0,1,0,0
0.007406132,0,0,0,0
0.007406162,0,1,0,0
0.007406188,0,0,0,0
0.007406228,0,1,0,0
0.007406372,0,0,0,0
0.007406406,0,1,0,0
0.007406420,0,0,0,0
0.007415278,0,1,0,0
0.007415290,0,0,0,0
0.007428262,0,1,0,0
0.007428268,0,0,0,0
0.007428316,0,1,0,0
0.007428326,0,0,0,0
0.007489122,0,1,0,0
0.007489126,0,0,0,0
0.007504790,0,1,0,0
0.007504794,0,0,0,0
0.007504844,0,1,0,0
0.007504852,0,0,0,0
0.007520320,0,1,0,0
0.007520328,0,0,0,0
0.007520372,0,1,0,0
0.007520386,0,0,0,0
0.007520434,0,1,0,0
0.007520448,0,0,0,0
0.007530780,0,1,0,0
0.007530786,0,0,0,0
0.007530828,0,1,0,0
0.007530844,0,0,0,0
0.007530892,0,1,0,0
0.007530904,0,0,0,0
0.007539080,0,1,0,0
0.007539088,0,0,0,0
0.007539128,0,1,0,0
0.007539144,0,0,0,0
0.007539190,0,1,0,0
0.007539208,0,0,0,0
0.007539300,0,1,0,0
0.007539312,0,0,0,0
0.007546818,0,1,0,0
0.007546826,0,0,0,0
0.007546862,0,1,0,0
0.007546884,0,0,0,0
0.007546926,0,1,0,0
0.007547068,0,0,0,0
0.007555860,0,1,0,0
0.007555876,0,0,0,0
0.007555924,0,1,0,0
0.007555940,0,0,0,0
0.007677478,0,1,0,0
0.007677482,0,0,0,0
0.007691440,0,1,0,0
0.007691444,0,0,0,0
0.007691492,0,1,0,0
0.007691502,0,0,0,0
0.007699070,0,1,0,0
0.007699074,0,0,0,0
0.007705574,0,1,0,0
0.007705582,0,0,0,0
0.007705628,0,1,0,0
0.007705640,0,0,0,0
0.007715342,0,1,0,0
0.007715350,0,0,0,0
0.007845684,0,0,0,1
0.007845686,0,0,1,1
0.007846228,0,1,1,1
0.007846236,1,1,1,1
0.007866152,1,0,1,1
0.007866154,0,0,1,1
0.007866214,1,0,1,1
0.007866230,0,1,1,1
0.007866232,0,0,1,1
0.007866236,0,1,1,1
0.007866242,0,0,1,1
0.007866246,1,0,1,1
0.007866256,1,1,1,1
0.007866258,0,1,1,1
0.007866264,0,0,1,1
0.007866270,1,0,1,1
0.007866282,1,1,1,1
0.007866288,1,0,1,1
0.007866304,1,1,1,1
0.007866310,1,0,1,1
0.007866318,1,1,1,1
0.007903592,1,1,0,0
0.007961706,1,1,0,1
0.007961708,1,1,1,1
0.008019612,1,1,1,0
0.008019614,1,1,0,0
0.008077708,1,1,0,1
0.008077710,1,1,1,1
0.008135604,1,1,0,0
0.008193708,1,1,0,1
0.008193710,1,1,1,1
0.008251602,1,1,0,0
0.008309690,1,1,0,1
0.008309692,1,1,1,1
0.008367674,1,1,1,0
0.008367676,1,1,0,0
0.008425688,1,1,1,1
0.008483664,1,1,0,0
0.008541776,1,1,0,1
0.008541778,1,1,1,1
0.008599676,1,1,1,0
0.008599678,1,1,0,0
0.008657788,1,1,0,1
0.008657790,1,1,1,1
0.008715770,1,1,0,0
0.008773884,1,1,0,1
0.008773886,1,1,1,1
0.008831786,1,1,0,0
0.008889790,1,1,0,1
0.008889792,1,1,1,1
0.008947764,1,1,1,0
0.008947766,1,1,0,0
0.009005782,1,1,0,1
0.009005784,1,1,1,1
0.009063760,1,1,0,0
0.009121860,1,1,0,1
0.009121862,1,1,1,1
0.009179856,1,1,0,0
0.009237986,1,1,0,1
0.009237988,1,1,1,1
0.009295888,1,1,1,0
0.009295890,1,1,0,0
0.009353996,1,1,0,1
0.009353998,1,1,1,1
0.009411918,1,1,1,0
0.009411920,1,1,0,0
0.009470034,1,1,0,1
0.009470036,1,1,1,1
0.009527926,1,1,1,0
0.009527928,1,1,0,0
0.009586030,1,1,1,1
0.009644024,1,1,1,0
0.009644026,1,1,0,0
0.009702126,1,1,0,1
0.009702128,1,1,1,1
0.009760116,1,1,1,0
0.009760118,1,1,0,0
0.009818220,1,1,0,1
0.009818222,1,1,1,1
0.009876116,1,1,1,0
0.009876118,1,1,0,0
0.009934214,1,1,0,1
0.009934216,1,1,1,1
0.009992214,1,1,0,0
0.010050224,1,1,0,1
0.010050226,1,1,1,1
0.010108218,1,1,0,0
0.010166238,1,1,1,1
0.010224224,1,1,1,0
0.010224226,1,1,0,0
0.010282244,1,1,0,1
0.010282246,1,1,1,1
0.010340146,1,1,1,0
0.010340148,1,1,0,0
0.010398250,1,1,0,1
0.010398252,1,1,1,1
0.010456148,1,1,1,0
0.010456150,1,1,0,0
0.010514274,1,1,0,1
0.010514276,1,1,1,1
0.010572188,1,1,0,0
0.010630212,1,1,0,1
0.010630214,1,1,1,1
0.010688228,1,1,0,0
0.010746258,1,1,0,1
0.010746260,1,1,1,1
0.010804250,1,1,0,0
0.010862274,1,1,0,1
0.010862276,1,1,1,1
0.010920260,1,1,0,0
0.010978272,1,1,0,1
0.010978274,1,1,1,1
0.011036262,1,1,1,0
0.011036264,1,1,0,0
0.011094366,1,1,0,1
0.011094368,1,1,1,1
0.011152272,1,1,0,0
0.011210380,1,1,0,1
0.011210382,1,1,1,1
0.011268294,1,1,0,0
0.011326322,1,1,0,1
0.011326324,1,1,1,1
0.011384318,1,1,0,0
0.011442348,1,1,0,1
0.011442350,1,1,1,1
0.011500348,1,1,0,0
0.011558384,1,1,1,1
0.011616396,1,1,0,0
0.011674446,1,1,1,1
0.011732452,1,1,1,0
0.011732454,1,1,0,0
0.011790474,1,1,1,1
0.011848374,1,1,0,0
